"","x"
"2744","@leftfield_13 Thanks for the reminder!

Here's the true answer:
https://t.co/mluDPREofT"
"2745","More valuable than you think... that's a typo in there.... ""repêchage"" .... no ""r"" at the end https://t.co/PbV3cSoL7A"
"2746","What is the current market showing as to his end-of-season number?"
"2747","On the high-end: he's played 1681 minutes since last season, which at his current 23:03 usage is equivalent to 73 games, where he's scored 51 goals, or 0.70 goals per game. Playing all 63 games, that's 44 more goals, plus 20 = 64.

True answer is somewhere between 57 and 64."
"2748","Whoah, y'all are awesome, well done!  Let me give you the most optimistic over/under and most pessimistic over/under.

On the low-end, in the last 4 seasons, he's scored 144 goals in 228 games, or 0.63 goals/gp. We play him in 58 of next 63 games or 37 more goals, plus 20 = 57."
"2749","Leon Draisaitl currently has 20 goals in 19 games.

What's the over/under number of goals at which he is just as likely to finish above, as below, that number?

#TrueOnPace"
"2750","That level of logic makes too much sense to have an irrational conversation https://t.co/Krm4PqV8Yk"
"2751","@camarcano Option D was ready-made for folks like you!"
"2752","Since 2008, among the 10 worst players at percentage of swings resulting in basehits, 7 are catchers. Which of these 3 leads in the non-catcher division?"
"2753","@DeOldMemes1 @SlangsOnSports @dgoold We did an end year refresh, since the OAA was drifting from 0 day to day"
"2754","https://t.co/2sxEhHjFpM"
"2755","Since 2008, these 4 batters are in the top 10 in the percentage of most basehits per swing. Which one is number 1."
"2756","@DownGoesBrown Good!  I personally like shootouts, but I'm in favor of those who don't like it to just change channel

As for standings points: you aren't watching other 10 games going on that night, and you are scoreboard watching those games. Same deal.  You scoreboard watch the game you left"
"2757","For the 90% of y'all that dont like it: why not change the channel and check Twitter in 5 minutes to see who gets the bonus point?"
"2758","Ok, the sound is definitely preceding the video on the Devils broadcast. Wasn't sure on that 3rd period post. Definitely sure on the shootout post"
"2759","If you dont like the shootout, so you watch it?"
"2760","Who's the color guy on the Devils broadcast? Sounds like Hulk Hogan"
"2761","The Wild jersey colors looks like the old Devils.  Looks like an intrasquad game"
"2762","@DeanHartmann @tagsyankees @Buster_ESPN @JulianGuilarte1 Wainwright was placed on all 32 ballots. 

It was Carpenter who got 30 of 32. And if he got those 3rd place votes, Lincecum still wins it."
"2763","@DeanHartmann @tagsyankees @Buster_ESPN @JulianGuilarte1 Cy Young at the time was a 3 person ballot. It is currently 5."
"2764","Last time Gretzky did *not* dominate his peers (but still led in scoring): he was 34 years old, his closest competition was youngs Jagr, Federov

McDavid is still matched by Draisaitl

Only player who can play at Gretzky level is Mario Lemieux. *No one* else can ever match Mario https://t.co/RgU0yRumzQ"
"2765","@JBLuvsCeltic Right, exactly the point.  He dominated his peers in a way that is incomparable."
"2766","@gotwgoty @FutureBlueJays Right, that's exactly the point of how I am showing it."
"2767","Looks like I gotta RT this every time those who never saw Gretzky play have to be reminded how much he towered over his peers. https://t.co/2v2Xrummzh"
"2768","All three of them would put Gordie Howe... https://t.co/M2Ll2U7Sc9"
"2769","https://t.co/lefksteMcB"
"2770","https://t.co/V1lIciAdvQ"
"2771","Terrific data from @HockeyAnalytics , well done @MeghanChayka https://t.co/XtBQVdD87g"
"2772","Could also be for HOF votes of Bonds/Clemens... https://t.co/F80eV3Jx2r"
"2773","@Positively18st I think DJ and Betts were top 5 for several years running..."
"2774","#Statcast Hardest number of batted balls per swing.

Is Pavin Smith the only surprise name on the list?

https://t.co/oRRcqJGt4y https://t.co/nnibld0to6"
"2775","@domluszczyszyn I automatically mute anyone with more than 4 digits in their name"
"2776","@Karl_R02 Yes"
"2777","@nickwillisjr Same results as last year.

The voters and fans dont see eye to eye here"
"2778","@AndrewPerpetua This has been true for so long..."
"2779","Quite the change in view from last year...

https://t.co/iOXYMWhKL5 https://t.co/1sbbdTmZQ2 https://t.co/L2FhqMlOne"
"2780","aka Random Variation https://t.co/DlAeups8mM"
"2781","@bubbamike https://t.co/FyUnw77JzN"
"2782","@NickMigs I'm asking about your view, not anyone else's"
"2783","My view of a good Hall of Fame ballot absolutely and definitely requires..."
"2784","My view of a good Hall of Fame ballot absolutely and definitely requires..."
"2785","My view of a good Hall of Fame ballot absolutely and definitely requires..."
"2786","My view of a good Hall of Fame ballot absolutely and definitely requires..."
"2787","@ChelseaParlett Instead of calling it a prior, call it a ballast.  The more sure you are of what you are dealing with, the larger the ballast and the less observations will cause that ballast to move.

Now you never have to use ""prior"" ever again."
"2788","@garfington https://t.co/RaSqnrndCk"
"2789","@garfington https://t.co/Cfq90tmSrt"
"2790","@joemadison89 @JPosnanski There's a good chance that zero of the 4 in the top 100 will be inducted..."
"2791","Reminder FIP-darling Javier Vazquez was never placed on the Hall of Fame ballot.

Since the threshold for appearing on the ballot is exceptionally low, it remains a blight on the nomination process. https://t.co/VPAHjBt9e4 https://t.co/HkILBZCPDI"
"2792","@Baseball_Namiki I think there's confusion here as to what constitutes a ""one"" pitch pitcher.  In your list, I see at most 2 that you can make that claim.  So even relievers don't do that, with very very few exceptions."
"2793","@Baseball_Namiki One-pitch SP would be a disaster...not sure why you would propose that.

(Though Bartolo I think threw 38 straight fastballs once.)"
"2794","@n_edelman First, I don't even know if it's true about the injury risk.

As for pitching coaches, I doubt the pitcher is going to be influenced other than his own success."
"2795","@timboudreau_ Game theory would suggest throwing the slider more.  The effectiveness of the pitch has to be indistinguishable from the alternatives in order to make it so that the opponent can't guess what you will throw."
"2796","That's Hasek-level... https://t.co/EWtq5fbQ3i"
"2797","@BoyslnBIue ... among others"
"2798","@n_edelman Not to mention each pitch has an inherent injury risk, so you have to compare that to the average, not to 0.

I just don't see it as conceivably plausible that a pitcher is thinking it that way."
"2799","@n_edelman Say you throw 500 sliders in a season, and you have a 10% chance of injuring yourself.  That means each slider has an injury rate of 5000 to 1.  Do you really think a pitcher is thinking since each pitch is 5000:1, he'll throw it 500 times instead of 1000?"
"2800","@bretjturner Good question... not sure yet"
"2801","2/2

... throw the slider more often and the fastball less often. They obviously have chosen not to do that (except deGrom). Question is why?

Do they treat fastball as a ""loss leader"", knowing the high frequency hurts them for a slider punch out, so THEY THINK overall it helps?"
"2802","The most effective pitch for a pitcher is the slider.  This is after controlling for the ball-strike count and quality of pitcher.

The least effective is the sinker, followed closely by the 4-seamer.

This would suggest that fastball-slider pitchers should...

1/2"
"2803","The reality is all this should NOT happen. If a batter knows what you should throw, that pitch should become less effective.  And if he knows what you should not throw, that pitch would then become more effective. In other words, everything should balance out.

Doesn't happen."
"2804","#Statcast

If you throw a 3-2 foul on... PitchA... 
then your next 3-2 pitch should be... PitchB... 
and... not PitchC...

Rules seem to be logical enough, or at least consistent.  4-seamer/sinkers are always paired; cutter/slider are never opposed to each other. https://t.co/FT1UvleuUo"
"2805","@bballbreakdown @jasonbenetti @Jason1Goff And then to add in... with the headset, in the luxury box... for a next level joke? Brilliant"
"2806","Which movie would you rewatch?"
"2807","@fiftycente1 @sbplama I think it's fair to say: 1st time, v all other times as the effect.  1st time is basically a ""cold"" effect for the batter maybe?

For the all-other-times, it's based on number of prior pitches seen."
"2808","@EliBenPorat In the 1st time up, if you've seen 7+ pitches, that must mean plenty of foul balls... so, that would seem to be the opposite of patience no?"
"2809","@guymolyneux You can see the total run value on 0-2 count here:

https://t.co/4AH0WWUOUq"
"2810","@guymolyneux The run value is adjusted for the ball-strike count. In other words, the average run value on 3-0 is the same as 0-2."
"2811","@sbplama Not exactly...

https://t.co/P3D4nxCi8Q"
"2812","#Statcast Run Values by Times Thru Order
And Prior Pitches Thrown in Game

We see that having thrown 30-40 pitches is better if facing batter the 1st time, than 2nd time.

Similarly, having thrown 60-75 better facing batting 2nd time than 3rd time. https://t.co/fjyT0bGMXZ"
"2813","2/2

2nd time thru, batter has big advantage when seeing 10+ prior pitches

3rd time thru, pitcher still doing ok if batter has seen at most 5 pitches in game.  Huge advantage to batter if they's seen 13+ pitches in game."
"2814","#Statcast  Run Value (per 100 pitches) Based on 
- Times Thru Order
- Number of Prior Pitches Seen in Game by that Batter

Only players in starting lineup.

Adjusted for pitcher quality.

So, 1st time thru, decided advantage to pitcher, except when batter sees 7+ pitches

1/2 https://t.co/PEpUDojOPC"
"2815","Did you answer the above poll thinking I asked about runners or fielders?"
"2816","@dzop1111 Uhmmm.... I guess I should have been clearer: I meant as a runner"
"2817","21.6% of you (after 134 votes) will want to know it actually happened:

https://t.co/yvHBxSzCdv"
"2818","Everytime I run these polls where I stack the deck, there's always a healthy minority, like 20-25%, where folks are definitely wrong, but they absolutely believe they are definitely right."
"2819","Is it possible to start at 2B and end up at 1B?"
"2820","@Wins0904 There is no double-counting ever in anything I do"
"2821","@Wins0904 It's all rolled into the positional adjustment.  The DH should be -22.5 runs, but we use -17.5 runs.

The catcher adjustment is more elusive, so, at the moment, it's been rolled into +12.5 runs."
"2822","@wickedmitchnw Correct, it's HR per batted ball"
"2823","@cantpitch @GrantBrisbee @someguynamedg I have the same thought each time... but then it falls to the side at the end.  

Since it was not a full circle, maybe they were right to run straight, since they figured it would eventually fall to the side anyway?"
"2824","@cuse2311 Good stuff, thank you... and I would not say ""sample too small"". It just means that the uncertainty level is higher for the smaller sample.  In the cases of the two smaller ones, the uncertainty level is 2X to 3X those of the other samples."
